Purchase Memo,Recom. Qty,Item Name,Item ID,Display Name,Reorder Vendor Group,Item Status,30 Days,60 Days,90 Days,120 Days,4 Month Average,Available to Promise,Qty Reserved,On Hand Available (Good),On Hand Deviated,On Hand Inspection,On Hand Label,On Hand Hold,On Hand Total (Good + Deviated),On Hand Total (Months),In Transit,Next Arrival Qty,Next Arrival Date,On Hand Total + In Transit,On Hand Total + Transit (Months),On Order (TO SHIP),Total Stock,Total Stock [Months],Item Weight,Item Weight Units,Maximum of Item Cubic Space,Total Available ,Admin Portal,Brand,Product Category,Vendor ID,Preferred Vendor,P.O.L,Item Description,Vendor Item #,Minimum of Vendor Price,Item Height1,Item Width1,Item Depth1,Item Height,Item Width,Item Depth,Item Shelf,Pallet QTY - NA,Pallet QTY - Euro,HI,TI,Planner ,Department,Product Sub Category,Item - Inner Qty,Product Type,UPC Code,Available for Sale,Available for purchase,LCL Listed,4-Month Qty Sold (LCL),4-Month Total Quantity Sold,Previous Year QTY Sold,Qty Committed,Qty Committed Reserved,Qty Back Ordered,Preferred Vendor Min Qty,Minimum Monthly Qty,Minimum Stock
- None -,3.5,DELROV250CD-CA,3718,Rovagnati Sgrassatella (1Pc) Per/Kg,Rovagnati,Active,180.05,145.09,108.594,130.35,141.021,,,597.494,597.494,597.494,597.494,597.494,597.494,4.24,,,,,- None -,200,- None -,- None -,2760,g,0.008446464,597.494,Admin Portal,Rovagnati,Deli Meats,1394,ROVAGNATI Rovagnati Spa,Genova,Rovagnati Sgrassatella (1Pc) Per/Kg,250CD,12.36,0.0000188,0.0000192,0.0000234,18.8,19.2,23.4,240,100,,2,50,- None -,Deli,Mortadella & Prosciutto,1,Retail,9.80071E+13,Yes,Yes,Yes,- None -,564.084,1629.542,,,,290,,
- None -,3.5,DELROV049CD-CA,1192,Rovagnati Prosciutto Cotto Gran Biscotto Classic (2Pc) Per/Kg,Rovagnati,Active,801.165,833.559,784.689,504.57,730.99575,,,3373.31805,3373.31805,3373.31805,3373.31805,3373.31805,3373.31805,4.61,,,,,- None -,2000,- None -,- None -,7662,g,0.029490912,3372.31805,Admin Portal,Rovagnati,Deli Meats,1394,ROVAGNATI Rovagnati Spa,Genova,Rovagnati Prosciutto Cotto Gran Biscotto Classic (2Pc) Per/Kg,049CD,10.31,0.0000174,0.0000321,0.0000528,17.4,32.1,52.8,300,100,,2,50,- None -,Deli,Mortadella & Prosciutto,2,Retail,9.80071E+13,Yes,Yes,Yes,- None -,2923.983,10764.315,1,,,1510,,
- None -,3.5,DELROVGL0CD-CA,3707,Rovagnati Porchetta Smaller Cuts (2Pc) Per/Kg,Rovagnati,Active,305.434,0,351.26,169.204,206.4745,,,724.527,724.527,724.527,724.527,724.527,724.527,3.51,,,,,- None -,1000,- None -,- None -,9702,g,0.02537,724.527,Admin Portal,Rovagnati,Deli Meats,1394,ROVAGNATI Rovagnati Spa,Genova,Rovagnati Porchetta Smaller Cuts (2Pc) Per/Kg,GL0CD,9.87,0.00002,0.0000215,0.000059,20,21.5,59,300,100,,2,50,- None -,Deli,Mortadella & Prosciutto,2,Retail,9.80071E+13,Yes,Yes,Yes,- None -,825.898,2960.892,,,,690,,
- None -,3.5,DELROV194CD-CA,3719,Rovagnati SPECK Prosciutto (2Pc) Per/Kg,Rovagnati,Active,62.474,149.3,43.52,65.946,80.31,,,276.303,276.303,276.303,276.303,276.303,276.303,3.42,,,,,- None -,600,- None -,- None -,5326,g,0.0146367,274.303,Admin Portal,Rovagnati,Deli Meats,1394,ROVAGNATI Rovagnati Spa,Genova,Rovagnati SPECK Prosciutto (2Pc) Per/Kg,194CD,11.81,0.0000139,0.000027,0.000039,13.9,27,39,240,100,,2,50,- None -,Deli,Mortadella & Prosciutto,2,Retail,9.80071E+13,Yes,Yes,No,- None -,321.24,1260.076,2,,,180,,
- None -,3.5,DELROVGV9CD-CA,1194,Rovagnati Prosciutto Cotto Gran Sapore (2Pc) Per/Kg,Rovagnati,Active,628.385,623.917,353.515,337.675,485.873,,,3261.816,3261.816,3261.816,3261.816,3261.816,3261.816,6.71,,,,,- None -,,- None -,- None -,6886,g,0.020979666,3261.816,Admin Portal,Rovagnati,Deli Meats,1394,ROVAGNATI Rovagnati Spa,Genova,Rovagnati Prosciutto Cotto Gran Sapore (2Pc) Per/Kg,GV9CD,8.18,0.0000218,0.0000289,0.0000333,21.8,28.9,33.3,300,100,,2,50,- None -,Deli,Mortadella & Prosciutto,2,Retail,9.80071E+13,Yes,Yes,No,- None -,1943.492,8214.552,,,,1260,,
- None -,3.5,DELROVU87CD-CA,3706,Rovagnati PISTACCHIO Gran Mortadella (2Pc) Per/Kg,Rovagnati,Active,315.16,318.26,174.32,167.76,243.875,,,1287.14,1287.14,1287.14,1287.14,1287.14,1287.14,5.28,,,,,- None -,,- None -,- None -,6538,g,0.02106342,1287.14,Admin Portal,Rovagnati,Deli Meats,1394,ROVAGNATI Rovagnati Spa,Genova,Rovagnati PISTACCHIO Gran Mortadella (2Pc) Per/Kg,U87CD,6.68,0.0000229,0.0000292,0.0000315,22.9,29.2,31.5,300,100,,2,50,- None -,Deli,Mortadella & Prosciutto,2,Retail,9.80071E+13,Yes,Yes,No,- None -,975.5,1921.64,,,,510,,
- None -,3.5,DELROVG37CD-CA,6000,Rovagnati Salame Milano,Rovagnati,Active,174.032,436.278,161.784,131.674,225.942,,,890.338,890.338,890.338,890.338,890.338,890.338,3.94,,,,,- None -,,- None -,- None -,6110,g,0.015012,890.338,Admin Portal,Rovagnati,Deli Meats,1394,ROVAGNATI Rovagnati Spa,Genova,Rovagnati Salame Milano,G37CD,10.5,0.0000139,0.00004,0.000027,13.9,40,27,240,100,,2,50,- None -,Deli,Salami,,Retail,9.80071E+13,Yes,Yes,No,- None -,903.768,2750.438,,,,475,,
- None -,3.5,DELROVG33CD-CA,6001,Rovagnati Salame Napoli,Rovagnati,Active,66.802,99.954,140.7,100.564,102.005,,,852.336,852.336,852.336,852.336,852.336,852.336,8.36,,,,,- None -,,- None -,- None -,6364,g,0.01579032,852.336,Admin Portal,Rovagnati,Deli Meats,1394,ROVAGNATI Rovagnati Spa,Genova,Rovagnati Salame Napoli,G33CD,10.5,0.0000182,0.0000482,0.000018,18.2,48.2,18,240,100,,2,50,- None -,Deli,Salami,,Retail,9.80071E+13,Yes,Yes,No,- None -,408.02,1596.808,,,,420,,
- None -,3.5,DELROVUO7CD-CA,6003,Rovagnati Salame Ventricina,Rovagnati,Active,132.344,0,8.2,101.194,60.4345,,,777.282,777.282,777.282,777.282,777.282,777.282,12.86,,,,,- None -,,- None -,- None -,6000,g,0.0301584,777.282,Admin Portal,Rovagnati,Deli Meats,1394,ROVAGNATI Rovagnati Spa,Genova,Rovagnati Salame Ventricina,UO7CD,10.5,0.0000183,0.0000515,0.000032,18.3,51.5,32,240,100,,2,50,- None -,Deli,Salami,,Retail,9.80071E+13,Yes,Yes,No,- None -,241.738,1455.278,,,,320,,
- None -,3.5,FPRM150A-CA,3684,R.M. Olives Infornate 12x500g,Salviani,Active - Not Sellable,0,0,0,0,0,,,95,95,95,95,95,95,0,,,,,- None -,,- None -,- None -,6600,g,0.02124,,Admin Portal,Regina Molisana,Condiments and Toppings,1409,SALVIANI Salviani S.R.L.,Salerno & Genova,R.M. Olives Infornate 12x500g,2560,30,0.000018,0.0000295,0.00004,18,29.5,40,365,110,,11,10,- None -,Pantry,Pickles and Antipasto,12,Retail,2.07799E+13,No,No,No,- None -,0,975,,,,220,,
