Item Name,Item ID,Display Name,Case UPC Code,Pallet Qty,Reorder Vendor Group,Critical Stock Restriction,Warning (< 2 Months),Recommened Restriction Quantity ,Maximum of Committed,Sum of On Hold,Sum of Reserved,Sum of On Hand Available (Good) ,Sum of On Hand Total (Good + Deviated),In Transit,Sum of On Hand Total + In Transit,On Order (TO SHIP),Total Stock,Next Arrival Qty,Next Arrival Date,Days Till Next Arrival,Months Till Next Arrival,On Hand Total (Months),On Hand Total + Transit (Months),Total Stock [Months],30 Days,60 Days,90 Days,120 Days,4 Month Average
CHIDPANEALLUX750-CA,7143,"Chiostro Panettone Tin Lemon, Tangerine, Orange 6x750g",- None -,20,Chiostro_Label_XMAS,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
CHIDPANEL750-CA,7007,Chiostro Panettone Paper Wrap Limoncello 8x750g,- None -,30,Chiostro_Label_XMAS,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
CHIDPANELGR1-CA,7011,Chiostro Panettone Tin Classic 6x1Kg,- None -,20,Chiostro_Label_XMAS,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
CHIDPANEPI750-CA,7009,Chiostro Panettone Paper Wrap Pistacchio 8x750g,- None -,30,Chiostro_Label_XMAS,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
CHIDPANEPLLUX750-CA,7161,Chiostro Panettone Pistachio Metal Tin Luxury Edition 6x750g,- None -,20,Chiostro_Label_XMAS,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
CIAMDRL400-CA,7149,David Rocco Ciambella Lemon 6x400g,- None -,104,IL FORNAIO,- None -,- None -,- None -,,,,,,312,,312,- None -,312,4/8/2026,28,.93,0,- None -,- None -,0,0,0,0,0
COFCAM122-CA,4163,Camardo Espresso Royal Beans 6x1Kg,- None -,100,Camardo,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFCAM158SLIM-CA,6869,Camardo Slim Arabica Moka and Drip Classic 12x250g (Can),- None -,121,Camardo,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFCAM159SLIM-CA,6871,Camardo Slim Decaf Moka and Drip 12x250g (Can),- None -,121,Camardo,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFCAM188-CA,4164,Camardo Nespresso Classic 160x5g Pods (16x10Pack),- None -,100,Camardo,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFCAM188P25-CA,6865,Camardo Nespresso Classic 150x5g Pods (6x25Pack),- None -,100,Camardo,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFCAM237-CA,6866,Camardo Espresso Crema 6x1Kg,- None -,100,Camardo,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFCAM303SLIM-CA,6872,Camardo Slim Biologico Moka and Drip 12x250g (Can),8003755003038,121,Camardo,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFCAM335-CA,6867,Camardo Espresso Gourmet Avvolgente 8x500g,- None -,100,Camardo,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFCAM435-CA,6868,Camardo Espresso Gourmet Intenso 8x500g,8003755004356,100,Camardo,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
COFGIO-CAP CLASSIC-CA,1535,Gioia Espresso Classic Capsules 100 Per Case,- None -,100,Labcaffe,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
