Item Name,Item ID,Display Name,Product Status,Core Item Category,Units,Size,Case UPC Code,Pallet Qty,LCL Listed,Reorder Vendor Group,Critical Stock Restriction,Warning (< 2 Months),Recommened Restriction Quantity ,Available to Promise,Maximum of Committed,Sum of On Hold,Reserved,Sum of On Hand Available (Good) ,Sum of On Hand Total (Good + Deviated),In Transit,Sum of On Hand Total + In Transit,On Order (TO SHIP),Total Stock,Next Arrival Qty,Next Arrival Date,Days Till Next Arrival,Months Till Next Arrival,On Hand Total (Months),Inspection,Label,Deviation,On Hand Total + Transit (Months),Total Stock [Months],30 Days,60 Days,90 Days,120 Days,4 Month Average,Maximum of Shelf Life in Days
VSPOLENTA01-CA,3900,Vita Sana Polenta 12x500g (Box),Active,13. Polenta,12,6660 g,779921106596,120,Yes,Molino Peila,- None -,- None -,- None -,- None -,34,,,,,1082,,1082,- None -,1080,9/30/2026,14,.47,0,,,,- None -,- None -,0,0,0,0,0,547
XMAS52A-CA,4071,Gioia Pandoro Chocolate Cream Fill 8x750g,Active-XMAS,40. Seasonal Christmas,8,6200 g,- None -,21,Yes,Balconi,- None -,- None -,- None -,- None -,45,,,,,,,286,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,243
XMAS53A-CA,4073,Gioia Pandoro Lemon Cream Filled 8x750g,Active-XMAS,40. Seasonal Christmas,8,6200 g,- None -,21,Yes,Balconi,- None -,- None -,- None -,- None -,46,,,,,,,288,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,243
XMASAU01B-CA,6573,Gioia Panettone Traditional 12x750g,Active-XMAS,40. Seasonal Christmas,12,10200 g,- None -,25,Yes,Bauducco_XMAS,- None -,- None -,- None -,- None -,230,,,,,1362,,3300,- None -,110,9/10/2026,-6,-.2,0,,,,- None -,- None -,0,0,0,0,0,243
XMASAU02-CA,4072,Gioia Pandoro Classic 8x800g,Active-XMAS,40. Seasonal Christmas,8,7000 g,- None -,21,Yes,Balconi,- None -,- None -,- None -,- None -,49,,,,,,,1230,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,243
XMASBAU01B-CA,6574,Bauducco Panettone Traditional 12x680g,Active-XMAS,40. Seasonal Christmas,12,9850 g,- None -,25,Yes,Bauducco_XMAS,- None -,- None -,- None -,- None -,,,,,,3668,,6625,- None -,810,9/10/2026,-6,-.2,0,,,,- None -,- None -,0,0,0,0,0,365
XMASBAU02B-CA,6575,Bauducco Chocottone 12x680g,Active-XMAS,40. Seasonal Christmas,12,9850 g,- None -,25,Yes,Bauducco_XMAS,- None -,- None -,- None -,- None -,,,,,,3797,,7550,- None -,810,9/3/2026,-13,-.43,0,,,,- None -,- None -,0,0,0,0,0,365
XMASBAU03AB-CA,7034,Bauducco Hazelnut Cream Panettone Box 12x454g,Active-XMAS,40. Seasonal Christmas,12,9850 g,875754006079,25,No,Bauducco_XMAS,- None -,- None -,- None -,- None -,,,,,,,,2700,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,243
XMASBAU04B-CA,6577,Bauducco Mini Panettone 24x80g,Active-XMAS,40. Seasonal Christmas,24,2900 g,- None -,72,Yes,Bauducco_XMAS,- None -,- None -,- None -,- None -,,,,,,3040,,5500,- None -,2670,9/10/2026,-6,-.2,0,,,,- None -,- None -,0,0,0,0,0,365
XMASBAU09B-CA,6578,Bauducco Mini Chocottone 24x80g,Active-XMAS,40. Seasonal Christmas,24,2900 g,- None -,72,Yes,Bauducco_XMAS,- None -,- None -,- None -,- None -,,,,,,3021,,5500,- None -,2670,9/10/2026,-6,-.2,0,,,,- None -,- None -,0,0,0,0,0,365
XMASBOX16361-OT,5686,Blue or Red Small Empty Box,Active-Packaging,- None -,, ,- None -,100,No,Scotton_Packaging,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,
XMASBOX16362-OT,5684,Blue or Red Medium Empty Box,Active-Packaging,- None -,, ,- None -,100,No,Scotton_Packaging,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,
XMASBOX31341-OT,5704,Silver or Gold Small Empty Box,Active-Packaging,- None -,, ,- None -,100,No,Scotton_Packaging,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,
XMASMAS01-CA,6904,Massimo Pandoro Classic 12x500g (Box),Active-XMAS,40. Seasonal Christmas,12,9850 g,779921120011,25,Yes,Bauducco_ XMAS Massimo,- None -,- None -,- None -,- None -,,,,,,,,4575,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,243
XMASMAS01-PA,7382,Massimo Pandoro Classic (Pallet) 25x12x500g,Active-XMAS,40. Seasonal Christmas,25, ,10779921120018,25,No,- None -,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,243
XMASMAS01B-CA,6903,Massimo Panettone Traditional 12x750g (Cello),Active-XMAS,40. Seasonal Christmas,12,9850 g,779921110029,25,Yes,Bauducco_ XMAS Massimo,- None -,- None -,- None -,- None -,,,,,,4125,,10235,- None -,875,9/10/2026,-6,-.2,0,,,,- None -,- None -,0,0,0,0,0,243
XMASMAS01B-PA,7383,Massimo Panettone Traditional (Pallet) 25x12x750g,Active-XMAS,40. Seasonal Christmas,25, ,10779921110026,25,No,- None -,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,243
XMASMTV01-CA,7033,Monteverde Panettone CELLO 12x750g,Active-XMAS,40. Seasonal Christmas,12,9850 g,779921110036,25,No,Bauducco_XMAS,- None -,- None -,- None -,- None -,,,,,,1500,,12500,- None -,625,9/10/2026,-6,-.2,0,,,,- None -,- None -,0,0,0,0,0,243
XMASMTV02-CA,7349,Monteverde Pandoro 12x500g (Box),Active - Not Sellable,40. Seasonal Christmas,12,9850 g,779921110043,25,No,- None -,- None -,- None -,- None -,- None -,,,,,,720,,3500,- None -,720,9/10/2026,-6,-.2,0,,,,- None -,- None -,0,0,0,0,0,
XMASTR01A-CA (do no use),4068,Gioia Torrone Soft With Almonds 12x150g,Active - Not Sellable,40. Seasonal Christmas,12,2100 g,779921290042,248,Yes,Torrone del Molise,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,
XMASTR03A-CA (do no use),4067,Gioia Torrone Ricoperto (Chocolate Covered) 12x150g,Active - Not Sellable,40. Seasonal Christmas,12,2100 g,779921290004,248,No,Torrone del Molise,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,
XMASTR08A-CA (do no use),4070,Gioia Torrone HARD with Almonds 12x150g,Active - Not Sellable,40. Seasonal Christmas,12,2140 g,779921290035,248,No,Torrone del Molise,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,
XMASTR10A-CA  (do no use),4069,Gioia Torrone Soft With Hazelnuts 12x150g,Do not Order,40. Seasonal Christmas,12,0 g,779921290028,248,Yes,Torrone del Molise,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,
XMASTR23A-CA  (do no use),3437,Gioia Torrone - Gianduia With Hazelnuts 12x150g,Active - Not Sellable,40. Seasonal Christmas,12,2100 g,779921290059,248,No,Torrone del Molise,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,
XMASTR29-CA  (do no use),4065,Gioia Torrincini Mini Assorted 12x200g,Active - Not Sellable,40. Seasonal Christmas,12,6660 g,779921290066,48,No,Torrone del Molise,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,547
XMASTR35A-CA (do no use),4066,Gioia Torrone Hard With Hazelnut 12x150g,Active - Not Sellable,40. Seasonal Christmas,12,2100 g,779921290011,248,No,Torrone del Molise,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,
XMASTRN51-CA,7327,Gioia Torroncini Mini Assorted 8x150g,Active-XMAS,40. Seasonal Christmas,8,1.3 kg,779921290509,176,No,Oliviero,- None -,- None -,- None -,- None -,,,,,,610,,610,- None -,610,9/22/2026,6,.2,0,,,,- None -,- None -,0,0,0,0,0,547
XMASTRN52-CA,7325,Gioia Torrone HARD with Almonds 18x150g,Active-XMAS,40. Seasonal Christmas,18,3.1 kg,779921290523,110,No,Oliviero,- None -,- None -,- None -,- None -,,,,,,618,,650,- None -,618,9/22/2026,6,.2,0,,,,- None -,- None -,0,0,0,0,0,
XMASTRN53-CA,7324,Gioia Torrone Soft With Almonds 18x150g,Active-XMAS,40. Seasonal Christmas,18,3.1 kg,779921290561,110,Yes,Oliviero,- None -,- None -,- None -,- None -,,,,,,779,,779,- None -,779,9/22/2026,6,.2,0,,,,- None -,- None -,0,0,0,0,0,
XMASTRN54-CA,7326,Gioia Torrone Soft With Hazelnuts 18x150g,Active-XMAS,40. Seasonal Christmas,18,3.1 kg,779921290578,110,No,Oliviero,- None -,- None -,- None -,- None -,,,,,,1050,,1050,- None -,1050,9/22/2026,6,.2,0,,,,- None -,- None -,0,0,0,0,0,
XMASTRN55-CA,7323,Gioia Torrone Ricoperto (Chocolate Covered) 18x150g,Active-XMAS,40. Seasonal Christmas,18,3.1 kg,779921290585,110,No,Oliviero,- None -,- None -,- None -,- None -,,,,,,872,,872,- None -,872,9/22/2026,6,.2,0,,,,- None -,- None -,0,0,0,0,0,
Total,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,
